sentence,episode,season,character
"Unknown are the names of the flowers that have been trampled Birds have fallen to the earth and long for the wind Prayers won't solve anything Only the will to fight can change the here and now! O pigs who laugh at the resolve to walk over corpses to move forward Livestock complacency? False prosperity? Give us the freedom of dying, starving wolves! The humiliation of being caged is what triggers us to fight back We hunters slaughter prey beyond the castle walls, consumed with surging bloodlust, as our crimson bows and arrows pierce scarlet holes into the twilight Pick up the pace! Run, you lead-footed laggards! What's your problem, Arlelt?! You're dragging your feet! Too heavy for you?! Maybe you'd prefer I let you drop your gear?! If this were a real mission, you'd be Titan food by now! Damn Give it here! You're gonna fail out at this rate! We're being graded today! But you'll get points marked off too if you do that Then make the grade without getting found out! Before I change my mind! Reiner Braun Stalwart in both mind and body, and well-respected by his comrades.",4,1,
I refuse to be a burden! Even if it costs me my life! Armin Arlelt.,4,1,
"Although lacking in physical strength, his aptitude in the classroom is extraordinary.",4,1,
Annie Leonhart.,4,1,
"Her slice attacks are absolutely flawless, but her reclusive tendencies make her a poor fit for coordinated efforts.",4,1,
Bertholdt Hoover.,4,1,
"He possesses remarkable potential, but lacks aggressiveness.",4,1,
Jean Kirschtein.,4,1,
Top-class omni-directional mobility.,4,1,
But his volatile personality tends to cause friction with others.,4,1,
